accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
0.5888355,4.715471,8.21976,-31.171,-14.3655,2.379,-0.07990117,0.16246572,-0.015980236,0.0
0.32074776,4.4473834,8.392102,-31.171,-14.3655,2.379,-0.087891296,0.061257567,0.039950587,0.0
0.32074776,4.4473834,8.392102,-31.171,-14.3655,2.379,-0.07723781,-0.12784189,0.02130698,0.0
0.32074776,4.4473834,8.392102,-31.171,-14.3655,2.379,-0.111861646,-0.007990118,-0.037287217,0.0
0.32074776,4.4473834,8.392102,-31.171,-14.3655,2.379,-0.15980235,0.07191106,0.061257567,0.0
0.47394073,4.5527034,8.32508,-31.171,-14.3655,2.379,-0.15980235,0.063920945,0.061257567,0.0
0.47394073,4.5527034,8.32508,-31.171,-14.3655,2.379,-0.15980235,0.04261396,0.015980236,0.0
0.47394073,4.5527034,8.32508,-31.171,-14.3655,2.379,-0.17311922,0.063920945,0.058594197,0.0
0.42606795,4.342063,8.372953,-31.171,-14.3655,2.379,-0.17311922,0.08522792,0.08522792,0.0
0.42606795,4.342063,8.372953,-30.561,-13.176001,2.989,-0.16246572,0.10120816,0.09055467,0.0
0.42606795,4.342063,8.372953,-30.561,-13.176001,2.989,-0.12784189,0.10387153,0.07457443,0.0
0.42606795,4.342063,8.372953,-30.561,-13.176001,2.989,-0.09588141,0.093218036,0.061257567,0.0
0.4164934,4.2558923,8.439975,-30.561,-13.176001,2.989,-0.087891296,0.09055467,0.063920945,0.0
0.4164934,4.2558923,8.439975,-30.561,-13.176001,2.989,-0.08256455,0.093218036,0.06658431,0.0
0.4164934,4.2558923,8.439975,-30.561,-13.176001,2.989,-0.093218036,0.098544784,0.063920945,0.0
0.4164934,4.2558923,8.439975,-30.561,-13.176001,2.989,-0.10919827,0.098544784,0.055930823,0.0
0.4356425,4.2175937,8.5740185,-30.561,-13.176001,2.989,-0.11985177,0.09588141,0.05326745,0.0
0.4356425,4.2175937,8.5740185,-30.561,-13.176001,2.989,-0.12517852,0.093218036,0.045277335,0.0
0.4356425,4.2175937,8.5740185,-30.561,-13.176001,2.989,-0.11985177,0.093218036,0.05060408,0.0
0.4356425,4.2175937,8.5740185,-30.561,-13.176001,2.989,-0.122515135,0.08256455,0.055930823,0.0
0.40691882,4.1601467,8.526146,-30.561,-13.176001,2.989,-0.13316862,0.07457443,0.05326745,0.0
