accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
1.8335283,-0.76117754,9.512326,11.8035,-22.326,-29.89,-0.0026633726,-0.026633725,0.045277335,3276.0
1.8335283,-0.76117754,9.512326,11.8035,-22.326,-29.89,-0.098544784,-0.063920945,0.026633725,3276.0
1.8335283,-0.76117754,9.512326,11.224,-19.9165,-31.171,-0.13849537,-0.05326745,0.01065349,3276.0
1.8335283,-0.76117754,9.512326,11.224,-19.9165,-31.171,-0.1464855,-0.034623843,0.0,3300.0
1.8335283,-0.76117754,9.512326,11.224,-19.9165,-31.171,-0.047940705,-0.015980236,-0.031960472,3300.0
2.101616,-1.0196906,8.813383,11.224,-19.9165,-31.171,0.013316862,-0.02130698,-0.063920945,3300.0
2.101616,-1.0196906,8.813383,11.224,-19.9165,-31.171,0.07457443,-0.02130698,-0.117188394,3300.0
2.101616,-1.0196906,8.813383,11.224,-19.9165,-31.171,0.05060408,0.005326745,-0.11452502,3300.0
2.101616,-1.0196906,8.813383,11.224,-19.9165,-31.171,0.0,0.045277335,-0.10387153,3300.0
2.3314054,-1.0675635,9.780414,11.224,-19.9165,-31.171,-0.034623843,0.055930823,-0.10120816,3300.0
2.3314054,-1.0675635,9.780414,11.224,-19.9165,-31.171,-0.07191106,0.045277335,-0.08256455,3300.0
2.3314054,-1.0675635,9.780414,11.224,-19.9165,-31.171,-0.029297099,0.029297099,-0.08256455,3300.0
2.3314054,-1.0675635,9.780414,11.224,-19.9165,-31.171,0.039950587,0.023970352,-0.09055467,3300.0
2.0728924,-1.1633091,9.301685,11.224,-19.9165,-31.171,0.058594197,0.02130698,-0.087891296,3300.0
2.0728924,-1.1633091,9.301685,11.224,-19.9165,-31.171,0.061257567,0.015980236,-0.06658431,3300.0
2.0728924,-1.1633091,9.301685,11.224,-21.106,-31.781,0.061257567,0.015980236,-0.06658431,3564.0
2.0728924,-1.1633091,9.301685,11.224,-21.106,-31.781,0.055930823,0.023970352,-0.055930823,3564.0
2.187787,-0.8760723,9.454879,11.224,-21.106,-31.781,0.034623843,0.029297099,-0.05326745,3564.0
2.187787,-0.8760723,9.454879,11.224,-21.106,-31.781,-0.037287217,0.034623843,-0.055930823,3564.0
2.187787,-0.8760723,9.454879,11.224,-21.106,-31.781,-0.093218036,0.047940705,-0.07990117,3564.0
2.187787,-0.8760723,9.454879,11.224,-21.106,-31.781,-0.14382212,0.07457443,-0.1464855,3564.0
2.5516202,-0.8473486,8.995299,11.224,-21.106,-31.781,-0.18377271,0.09055467,-0.18909945,3564.0
2.5516202,-0.8473486,8.995299,11.224,-21.106,-31.781,-0.29829773,0.13050525,-0.2903076,3564.0
2.5516202,-0.8473486,8.995299,11.224,-21.106,-31.781,-0.43412971,0.16779247,-0.41548613,3564.0
2.5516202,-0.8473486,8.995299,11.224,-21.106,-31.781,-0.62056583,0.1944262,-0.55930823,3564.0
2.5707695,-0.40691882,8.593168,11.224,-21.106,-31.781,-0.7537344,0.20774306,-0.6471995,3564.0
2.5707695,-0.40691882,8.593168,11.224,-21.106,-31.781,-1.1532403,0.22905004,-0.89755654,3564.0
2.5707695,-0.40691882,8.593168,11.224,-19.3065,-31.171,-1.3769636,0.25035703,-1.0413786,3564.0
2.5707695,-0.40691882,8.593168,11.224,-19.3065,-31.171,-1.5234491,0.2823175,-1.1638938,3756.0
2.513322,-0.9718179,7.6452866,11.224,-19.3065,-31.171,-1.5048054,0.31427795,-1.2651019,3756.0
2.513322,-0.9718179,7.6452866,11.224,-19.3065,-31.171,-0.91620016,0.3116146,-1.4914886,3756.0
2.513322,-0.9718179,7.6452866,11.224,-19.3065,-31.171,-0.15181224,0.20507969,-1.7551625,3756.0
2.513322,-0.9718179,7.6452866,11.224,-19.3065,-31.171,0.13050525,0.031960472,-1.9442619,3756.0
