accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
1.4218222,-0.6079846,9.847435,-37.149002,45.567,-11.9865,-0.07723781,0.087891296,-0.047940705,24.0
1.4218222,-0.6079846,9.847435,-37.149002,45.567,-11.9865,-0.069247685,0.061257567,-0.10120816,24.0
1.4218222,-0.110107444,9.359133,-37.149002,45.567,-11.9865,0.013316862,0.031960472,-0.08522792,24.0
1.4218222,-0.110107444,9.359133,-37.149002,45.567,-11.9865,0.15713897,-0.005326745,-0.06658431,24.0
1.4218222,-0.110107444,9.359133,-37.149002,45.567,-11.9865,0.087891296,0.02130698,-0.18909945,24.0
1.4218222,-0.110107444,9.359133,-37.149002,45.567,-11.9865,-0.047940705,0.08522792,-0.16779247,24.0
1.6037389,-0.12925656,9.560199,-37.149002,45.567,-11.9865,-0.055930823,0.087891296,-0.10919827,24.0
1.6037389,-0.12925656,9.560199,-37.149002,45.567,-11.9865,0.0026633726,0.055930823,-0.055930823,24.0
1.6037389,-0.12925656,9.560199,-37.149002,45.567,-11.9865,0.007990118,0.029297099,-0.05326745,24.0
1.3069274,-0.56968635,9.435729,-37.149002,45.567,-11.9865,-0.005326745,0.026633725,-0.05060408,24.0
1.3069274,-0.56968635,9.435729,-37.149002,44.347,-11.9865,-0.02130698,0.023970352,-0.037287217,24.0
1.3069274,-0.56968635,9.435729,-37.149002,44.347,-11.9865,-0.031960472,0.01065349,0.005326745,24.0
1.3069274,-0.56968635,9.435729,-37.149002,44.347,-11.9865,-0.026633725,-0.01065349,0.029297099,24.0
1.2016073,-0.36862057,9.253813,-37.149002,44.347,-11.9865,-0.026633725,-0.015980236,0.026633725,24.0
1.2016073,-0.36862057,9.253813,-37.149002,44.347,-11.9865,-0.02130698,-0.015980236,0.007990118,24.0
1.2016073,-0.36862057,9.253813,-37.149002,44.347,-11.9865,-0.026633725,-0.01065349,-0.005326745,24.0
1.2016073,-0.36862057,9.253813,-37.149002,44.347,-11.9865,-0.061257567,-0.013316862,-0.02130698,24.0
1.4505459,-0.14840569,9.483603,-37.149002,44.347,-11.9865,-0.08522792,-0.015980236,-0.034623843,24.0
1.4505459,-0.14840569,9.483603,-37.149002,44.347,-11.9865,-0.13050525,-0.023970352,-0.07457443,24.0
1.4505459,-0.14840569,9.483603,-37.149002,44.347,-11.9865,-0.14914887,-0.02130698,-0.111861646,24.0
1.4505459,-0.14840569,9.483603,-37.149002,44.347,-11.9865,-0.15181224,-0.02130698,-0.14115874,24.0
1.6324625,-0.16755481,9.320834,-37.149002,44.347,-11.9865,-0.1651291,-0.029297099,-0.16779247,24.0
1.6324625,-0.16755481,9.320834,-35.3495,44.957,-10.187,-0.19708957,-0.039950587,-0.21040644,24.0
1.6324625,-0.16755481,9.320834,-35.3495,44.957,-10.187,-0.3382483,-0.05326745,-0.32759482,24.0
1.6324625,-0.16755481,9.320834,-35.3495,44.957,-10.187,-0.5193576,-0.055930823,-0.46076345,24.0
1.8526775,0.665432,8.612317,-35.3495,44.957,-10.187,-0.6045856,-0.058594197,-0.54865474,24.0
1.8526775,0.665432,8.612317,-35.3495,44.957,-10.187,-0.79901177,-0.058594197,-0.76172453,24.0
1.8526775,0.665432,8.612317,-35.3495,44.957,-10.187,-1.0120816,-0.04261396,-0.9987647,24.0
1.8526775,0.665432,8.612317,-35.3495,44.957,-10.187,-1.1772107,-0.05326745,-1.2384683,24.0
1.8431029,0.19627848,7.051664,-35.3495,44.957,-10.187,-1.2304782,-0.07457443,-1.3663101,24.0
1.8431029,0.19627848,7.051664,-35.3495,44.957,-10.187,-1.2864089,-0.15713897,-1.6113404,24.0
1.8431029,0.19627848,7.051664,-35.3495,44.957,-10.187,-1.3050525,-0.3116146,-1.880341,24.0
1.79523,-0.20585304,5.38569,-35.3495,44.957,-10.187,-1.2917356,-0.40216926,-2.0214999,24.0
1.79523,-0.20585304,5.38569,-35.3495,44.957,-10.187,-1.1692206,-0.5806152,-2.26653,24.0
1.79523,-0.20585304,5.38569,-37.759,44.957,-11.9865,-1.0760025,-0.67383325,-2.3570848,24.0
1.79523,-0.20585304,5.38569,-37.759,44.957,-11.9865,-0.9747943,-0.86825943,-2.524877,24.0
1.79523,-0.20585304,5.38569,-37.759,44.957,-11.9865,-1.0973095,-1.0760025,-2.7326202,24.0
2.6282167,-0.3398969,5.4718614,-37.759,44.957,-11.9865,-1.1798741,-1.1772107,-2.844482,24.0
2.6282167,-0.3398969,5.4718614,-37.759,44.957,-11.9865,-1.1905276,-1.379627,-3.0016208,24.0
2.6282167,-0.3398969,5.4718614,-37.759,44.957,-11.9865,-1.0227351,-1.6193305,-3.0335813,24.0
4.5144053,-2.2739582,5.960164,-37.759,44.957,-11.9865,-0.92951703,-1.7551625,-3.0495615,24.0
4.5144053,-2.2739582,5.960164,-37.759,44.957,-11.9865,-0.8043385,-2.0428069,-3.153433,24.0
4.5144053,-2.2739582,5.960164,-37.759,44.957,-11.9865,-0.5619716,-2.3411045,-3.2413244,24.0
4.5144053,-2.2739582,5.960164,-37.759,44.957,-11.9865,-0.087891296,-2.6207585,-3.2253442,24.0
6.8410234,-2.5707695,6.113357,-37.759,44.957,-11.9865,0.093218036,-2.7539272,-3.196047,24.0
6.8410234,-2.5707695,6.113357,-37.759,44.957,-11.9865,0.018643608,-2.974987,-3.0788586,24.0
6.8410234,-2.5707695,6.113357,-46.1465,48.556,-3.5685,-0.25568378,-3.060215,-2.9989574,24.0
6.8410234,-2.5707695,6.113357,-46.1465,48.556,-3.5685,-0.99343795,-3.2120273,-2.8684523,24.0
10.029352,0.19627848,5.82612,-46.1465,48.556,-3.5685,-1.3130426,-3.2919285,-2.8364918,24.0
10.029352,0.19627848,5.82612,-46.1465,48.556,-3.5685,-1.6752614,-3.4597208,-2.8071947,24.0
10.029352,0.19627848,5.82612,-46.1465,48.556,-3.5685,-1.723202,-3.6062064,-2.7965412,24.0
10.029352,0.19627848,5.82612,-46.1465,48.556,-3.5685,-1.723202,-3.6434937,-2.7858877,24.0
13.974071,-0.4356425,5.4431376,-46.1465,48.556,-3.5685,-1.7738061,-3.5875628,-2.767244,24.0
13.974071,-0.4356425,5.4431376,-46.1465,48.556,-3.5685,-1.9495887,-3.2546413,-2.695333,24.0
13.974071,-0.4356425,5.4431376,-46.1465,48.556,-3.5685,-2.1626585,-2.6127684,-2.5115602,24.0
13.974071,-0.4356425,5.4431376,-46.1465,48.556,-3.5685,-2.3384411,-2.2319062,-2.3411045,36.0
15.467703,-0.9622433,6.8027253,-46.1465,48.556,-3.5685,-2.588798,-1.8696876,-2.1227078,36.0
15.467703,-0.9622433,6.8027253,-46.1465,48.556,-3.5685,-3.1694133,-1.3263595,-1.6326474,36.0
15.467703,-0.9622433,6.8027253,-68.3505,37.149002,11.3765,-3.3851466,-1.1452502,-1.3743002,36.0
15.467703,-0.9622433,6.8027253,-68.3505,37.149002,11.3765,-3.5263052,-0.8815763,-0.87624955,36.0
11.657027,-1.0101161,3.8633351,-68.3505,37.149002,11.3765,-3.5076616,-0.7856949,-0.657853,36.0
11.657027,-1.0101161,3.8633351,-68.3505,37.149002,11.3765,-3.4996715,-0.5912687,-0.2903076,36.0
11.657027,-1.0101161,3.8633351,-68.3505,37.149002,11.3765,-3.5928895,-0.35156518,-0.039950587,36.0
11.657027,-1.0101161,3.8633351,-68.3505,37.149002,11.3765,-3.781989,-0.122515135,0.07191106,36.0
9.866585,-1.8814012,3.7197168,-68.3505,37.149002,11.3765,-3.904504,-0.047940705,0.087891296,36.0
9.866585,-1.8814012,3.7197168,-68.3505,37.149002,11.3765,-4.0563164,0.029297099,0.07990117,36.0
9.866585,-1.8814012,3.7197168,-68.3505,37.149002,11.3765,-3.904504,0.058594197,0.06658431,36.0
