accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
1.1824582,-1.1728836,9.636795,-40.1685,46.1465,-10.7665,-0.09055467,0.013316862,0.069247685,48.0
1.1824582,-1.1728836,9.636795,-40.1685,46.1465,-10.7665,-0.063920945,-0.02130698,0.013316862,48.0
1.1824582,-1.1728836,9.636795,-40.1685,46.1465,-10.7665,0.013316862,-0.031960472,-0.026633725,48.0
1.0101161,-1.1728836,9.368708,-40.1685,46.1465,-10.7665,0.023970352,-0.015980236,-0.037287217,48.0
1.0101161,-1.1728836,9.368708,-40.1685,46.1465,-10.7665,0.01065349,0.013316862,-0.04261396,48.0
1.0101161,-1.1728836,9.368708,-40.1685,46.1465,-10.7665,0.013316862,0.02130698,-0.026633725,48.0
0.9622433,-1.2207564,9.598496,-40.1685,46.1465,-10.7665,0.023970352,0.018643608,-0.02130698,48.0
0.9622433,-1.2207564,9.598496,-40.1685,46.1465,-10.7665,0.061257567,0.013316862,-0.023970352,48.0
0.9622433,-1.2207564,9.598496,-40.1685,46.1465,-10.7665,0.061257567,0.01065349,-0.026633725,48.0
0.9622433,-1.2207564,9.598496,-40.1685,46.1465,-10.7665,0.04261396,0.013316862,-0.026633725,48.0
0.91437054,-1.2303311,9.445304,-40.1685,46.1465,-10.7665,0.04261396,0.013316862,-0.026633725,84.0
0.91437054,-1.2303311,9.445304,-40.1685,46.1465,-10.7665,0.055930823,0.01065349,-0.015980236,84.0
0.91437054,-1.2303311,9.445304,-38.9485,47.3665,-8.967,0.055930823,0.0026633726,-0.013316862,84.0
0.91437054,-1.2303311,9.445304,-38.9485,47.3665,-8.967,0.029297099,-0.007990118,-0.01065349,84.0
0.91437054,-1.2303311,9.445304,-38.9485,47.3665,-8.967,-0.005326745,-0.007990118,-0.007990118,84.0
0.99096704,-1.1154363,9.464453,-38.9485,47.3665,-8.967,-0.007990118,-0.0026633726,-0.005326745,84.0
0.99096704,-1.1154363,9.464453,-38.9485,47.3665,-8.967,0.013316862,-0.005326745,0.0,84.0
0.99096704,-1.1154363,9.464453,-38.9485,47.3665,-8.967,0.04261396,-0.018643608,-0.013316862,84.0
1.0675635,-1.2111819,9.349558,-38.9485,47.3665,-8.967,0.05326745,-0.015980236,-0.029297099,84.0
1.0675635,-1.2111819,9.349558,-38.9485,47.3665,-8.967,0.087891296,0.0,-0.063920945,84.0
1.0675635,-1.2111819,9.349558,-38.9485,47.3665,-8.967,0.135832,0.018643608,-0.098544784,84.0
1.0675635,-1.2111819,9.349558,-38.9485,47.3665,-8.967,0.15713897,0.013316862,-0.1464855,84.0
1.0675635,-1.2111819,9.349558,-38.9485,47.3665,-8.967,0.15713897,0.0,-0.17311922,72.0
0.98139244,-0.85692316,8.985725,-38.9485,47.3665,-8.967,0.15181224,-0.015980236,-0.20774306,72.0
0.98139244,-0.85692316,8.985725,-38.9485,44.957,-8.967,0.14914887,-0.034623843,-0.24503027,72.0
0.98139244,-0.85692316,8.985725,-38.9485,44.957,-8.967,0.12784189,-0.087891296,-0.35689193,72.0
0.98139244,-0.85692316,8.985725,-38.9485,44.957,-8.967,0.007990118,-0.15980235,-0.51136756,72.0
1.2111819,-0.00478728,8.104865,-38.9485,44.957,-8.967,-0.087891296,-0.1944262,-0.59659547,72.0
1.2111819,-0.00478728,8.104865,-38.9485,44.957,-8.967,-0.25035703,-0.23970354,-0.7670513,72.0
1.2111819,-0.00478728,8.104865,-38.9485,44.957,-8.967,-0.292971,-0.27432737,-0.9428339,72.0
1.3356512,0.023936402,7.12826,-38.9485,44.957,-8.967,-0.30362448,-0.30895123,-1.0360519,72.0
1.3356512,0.023936402,7.12826,-38.9485,44.957,-8.967,-0.41015938,-0.41015938,-1.2411317,72.0
1.3356512,0.023936402,7.12826,-38.9485,44.957,-8.967,-0.56729835,-0.51136756,-1.4542015,72.0
1.3356512,0.023936402,7.12826,-38.9485,44.957,-8.967,-0.6045856,-0.60991234,-1.6486276,72.0
