accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
-4.437809,2.6569405,7.4729443,7.7775,-43.1575,-14.9755,-0.13316862,-0.063920945,0.07990117,360.0
-4.658024,3.7675896,7.8272033,7.7775,-43.1575,-14.9755,-0.2423669,-0.07457443,0.10387153,360.0
-4.658024,3.7675896,7.8272033,7.7775,-43.1575,-14.9755,-0.25568378,-0.063920945,0.14382212,360.0
-4.658024,3.7675896,7.8272033,7.7775,-43.1575,-14.9755,-0.10919827,-0.026633725,0.15713897,360.0
-4.658024,3.7675896,7.8272033,7.7775,-43.1575,-14.9755,0.007990118,0.007990118,0.15447561,360.0
-4.5527034,3.3558834,7.042089,11.3765,-47.946,-11.3765,0.007990118,0.007990118,0.15447561,360.0
-4.5527034,3.3558834,7.042089,11.3765,-47.946,-11.3765,0.0,0.045277335,0.15181224,360.0
-4.5527034,3.3558834,7.042089,11.3765,-47.946,-11.3765,-0.039950587,0.06658431,0.15181224,336.0
-4.5527034,3.3558834,7.042089,11.3765,-47.946,-11.3765,-0.135832,0.122515135,0.14914887,336.0
-4.2271686,3.2409887,6.936769,11.3765,-47.946,-11.3765,-0.17311922,0.15713897,0.1464855,336.0
-4.2271686,3.2409887,6.936769,11.3765,-47.946,-11.3765,-0.22905004,0.24503027,0.13849537,336.0
-4.2271686,3.2409887,6.936769,11.3765,-47.946,-11.3765,-0.28764424,0.34357506,0.14382212,336.0
-4.2271686,3.2409887,6.936769,11.3765,-47.946,-11.3765,-0.3382483,0.44744658,0.17844597,336.0
-3.9878044,3.1356685,6.027186,11.3765,-47.946,-11.3765,-0.36221868,0.50071406,0.20774306,336.0
-3.9878044,3.1356685,6.027186,11.3765,-47.946,-11.3765,-0.45010996,0.59659547,0.2903076,336.0
-3.9878044,3.1356685,6.027186,11.3765,-47.946,-11.3765,-0.5939321,0.67916,0.39151576,336.0
-3.9878044,3.1356685,6.027186,11.3765,-47.946,-11.3765,-0.8070019,0.7457443,0.5140309,336.0
-4.2271686,2.3122563,5.2899446,11.3765,-47.946,-11.3765,-0.95615077,0.7750414,0.5832786,336.0
-4.2271686,2.3122563,5.2899446,9.577,-41.968002,-16.775,-1.1399235,0.81232864,0.6498629,336.0
-4.2271686,2.3122563,5.2899446,9.577,-41.968002,-16.775,-1.5554096,0.9241903,0.75107104,336.0
-4.2271686,2.3122563,5.2899446,9.577,-41.968002,-16.775,-1.7631526,1.0040915,0.7750414,912.0
-4.8207912,1.1728836,4.150572,9.577,-41.968002,-16.775,-1.952252,1.0999728,0.7856949,912.0
-4.8207912,1.1728836,4.150572,9.577,-41.968002,-16.775,-2.2931638,1.2837455,0.814992,912.0
-4.8207912,1.1728836,4.150572,9.577,-41.968002,-16.775,-2.644729,1.4328945,0.89489317,912.0
-4.8207912,1.1728836,4.150572,9.577,-41.968002,-16.775,-3.153433,1.566063,1.0973095,912.0
-6.0846334,2.0441687,4.7920675,9.577,-41.968002,-16.775,-3.5449488,1.6219939,1.2624385,912.0
-6.0846334,2.0441687,4.7920675,9.577,-41.968002,-16.775,-4.666229,1.7045584,1.7285287,912.0
-6.0846334,2.0441687,4.7920675,9.577,-41.968002,-16.775,-6.179024,1.7152119,2.394372,912.0
-6.0846334,2.0441687,4.7920675,9.577,-41.968002,-16.775,-7.958157,1.6246573,3.1987104,912.0
-8.411251,3.1069448,4.3612123,9.577,-41.968002,-16.775,-8.893001,1.5420927,3.6195233,912.0
-8.411251,3.1069448,4.3612123,9.577,-40.1685,-22.7835,-9.822518,1.4462113,4.0350094,912.0
-8.411251,3.1069448,4.3612123,9.577,-40.1685,-22.7835,-11.5217495,1.2917356,4.748793,912.0
-8.411251,3.1069448,4.3612123,9.577,-40.1685,-22.7835,-12.267494,1.2784188,4.9911604,1152.0
-8.411251,3.1069448,4.3612123,9.577,-40.1685,-22.7835,-13.426061,1.2651019,5.1163387,1152.0
-14.165563,-0.16755481,-2.3122563,9.577,-40.1685,-22.7835,-13.628477,1.1985177,5.004477,1152.0
-14.165563,-0.16755481,-2.3122563,9.577,-40.1685,-22.7835,-12.600415,1.0999728,4.5490403,1152.0
-14.165563,-0.16755481,-2.3122563,9.577,-40.1685,-22.7835,-9.431003,0.99343795,3.7686722,1152.0
-13.629387,-8.6697645,0.45479164,9.577,-40.1685,-22.7835,-7.46277,0.8895664,3.2652948,1152.0
-13.629387,-8.6697645,0.45479164,9.577,-40.1685,-22.7835,-4.3093367,0.7324275,2.4343226,1152.0
-13.629387,-8.6697645,0.45479164,9.577,-40.1685,-22.7835,-2.3277876,0.70579374,2.008183,1152.0
-13.629387,-8.6697645,0.45479164,9.577,-40.1685,-22.7835,-0.08522792,0.7777048,1.7072217,1152.0
-12.145329,-5.108028,-0.17712937,9.577,-40.1685,-22.7835,1.1798741,0.8389624,1.5500828,1152.0
-12.145329,-5.108028,-0.17712937,5.368,-7.7775,-42.5475,2.3704016,0.90554667,1.3663101,1152.0
-12.145329,-5.108028,-0.17712937,5.368,-7.7775,-42.5475,4.088277,1.014745,0.92951703,1152.0
-12.145329,-5.108028,-0.17712937,5.368,-7.7775,-42.5475,4.873972,1.0174084,0.5752885,1152.0
-12.145329,-5.108028,-0.17712937,5.368,-7.7775,-42.5475,5.0204573,0.99343795,0.4660902,636.0
-10.680422,-4.993133,-0.37819514,5.368,-7.7775,-42.5475,5.0151305,0.95615077,0.39417914,636.0
