accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
-2.9633265,0.44521707,8.6697645,10.187,16.165,-25.1625,0.19708957,0.19708957,0.16779247,12.0
-2.9633265,0.44521707,8.6697645,19.764,14.9755,-23.973,0.1651291,0.13050525,0.18110934,12.0
-2.9633265,0.44521707,8.6697645,19.764,14.9755,-23.973,0.0026633726,-0.007990118,0.19975294,12.0
-3.4420545,1.1633091,8.7750845,19.764,14.9755,-23.973,-0.07457443,-0.061257567,0.20241632,12.0
-3.4420545,1.1633091,8.7750845,19.764,14.9755,-23.973,-0.12784189,-0.111861646,0.18643607,12.0
-3.4420545,1.1633091,8.7750845,19.764,14.9755,-23.973,-0.058594197,-0.09588141,0.15980235,12.0
-3.126094,0.9622433,8.803808,19.764,14.9755,-23.973,-0.005326745,-0.07990117,0.1464855,12.0
-3.126094,0.9622433,8.803808,19.764,14.9755,-23.973,0.07990117,-0.05326745,0.12517852,12.0
-3.126094,0.9622433,8.803808,19.764,14.9755,-23.973,0.098544784,-0.037287217,0.117188394,12.0
-3.126094,0.9622433,8.803808,19.764,14.9755,-23.973,0.047940705,-0.034623843,0.12517852,12.0
-3.0016246,1.1345854,8.698488,19.764,14.9755,-23.973,0.013316862,-0.037287217,0.12784189,12.0
-3.0016246,1.1345854,8.698488,19.764,14.9755,-23.973,-0.04261396,-0.029297099,0.13050525,12.0
-3.0016246,1.1345854,8.698488,19.764,14.9755,-23.973,-0.09588141,-0.0026633726,0.13050525,12.0
-3.0016246,1.1345854,8.698488,20.374,17.9645,-25.1625,-0.122515135,0.007990118,0.13050525,12.0
-3.2026904,1.0388398,8.765511,20.374,17.9645,-25.1625,-0.1464855,0.015980236,0.12784189,12.0
-3.2026904,1.0388398,8.765511,20.374,17.9645,-25.1625,-0.15447561,0.029297099,0.13050525,12.0
-3.2026904,1.0388398,8.765511,20.374,17.9645,-25.1625,-0.117188394,0.039950587,0.13849537,12.0
-3.2026904,1.0388398,8.765511,20.374,17.9645,-25.1625,-0.1065349,0.039950587,0.14914887,12.0
-3.5090764,0.8473486,8.9761505,20.374,17.9645,-25.1625,-0.117188394,0.029297099,0.15447561,12.0
-3.5090764,0.8473486,8.9761505,20.374,17.9645,-25.1625,-0.14382212,0.013316862,0.15447561,12.0
-3.5090764,0.8473486,8.9761505,20.374,17.9645,-25.1625,-0.15447561,0.007990118,0.14115874,12.0
-3.5090764,0.8473486,8.9761505,20.374,17.9645,-25.1625,-0.17578259,0.018643608,0.13050525,12.0
-3.518651,1.2111819,8.7750845,20.374,17.9645,-25.1625,-0.19975294,0.026633725,0.13050525,12.0
-3.518651,1.2111819,8.7750845,20.374,17.9645,-25.1625,-0.27432737,0.047940705,0.15181224,12.0
-3.518651,1.2111819,8.7750845,20.374,17.9645,-25.1625,-0.32759482,0.061257567,0.17578259,60.0
-3.518651,1.2111819,8.7750845,14.9755,16.775,-27.572,-0.39417914,0.07191106,0.20507969,60.0
-3.3080106,1.4313968,8.047418,14.9755,16.775,-27.572,-0.4767437,0.08256455,0.24769364,60.0
-3.3080106,1.4313968,8.047418,14.9755,16.775,-27.572,-0.69514024,0.08522792,0.3595553,60.0
-3.3080106,1.4313968,8.047418,14.9755,16.775,-27.572,-0.9854478,0.07191106,0.5060408,60.0
-3.3080106,1.4313968,8.047418,14.9755,16.775,-27.572,-1.3343496,0.045277335,0.6764966,60.0
-3.5378,1.1824582,6.4484663,14.9755,16.775,-27.572,-1.4914886,0.026633725,0.7563978,60.0
-3.5378,1.1824582,6.4484663,14.9755,16.775,-27.572,-1.6433009,0.0026633726,0.87624955,60.0
-3.5378,1.1824582,6.4484663,14.9755,16.775,-27.572,-1.5554096,0.037287217,0.9428339,60.0
-3.5378,1.1824582,6.4484663,14.9755,16.775,-27.572,-1.4302311,0.11452502,1.0200717,60.0
-3.7292912,-0.40691882,5.797396,14.9755,16.775,-27.572,-1.4275677,0.15980235,1.0706757,60.0
-3.7292912,-0.40691882,5.797396,14.9755,16.775,-27.572,-1.5687264,0.25834712,1.1958543,60.0
-3.7292912,-0.40691882,5.797396,14.9755,16.775,-27.572,-1.6699346,0.3196047,1.2677653,48.0
-3.7292912,-0.40691882,5.797396,14.9755,16.775,-27.572,-1.7391822,0.4927239,1.3876171,48.0
-3.059072,-0.8760723,5.653778,14.3655,19.764,-26.962,-1.7391822,0.4927239,1.3876171,48.0
-3.059072,-0.8760723,5.653778,14.3655,19.764,-26.962,-1.4542015,0.80966526,1.4355578,48.0
-3.059072,-0.8760723,5.653778,14.3655,19.764,-26.962,-1.0280617,1.2358049,1.464855,48.0
-3.059072,-0.8760723,5.653778,14.3655,19.764,-26.962,-0.82298213,1.6166672,1.5127956,48.0
-3.6143966,-0.93351966,6.8793216,14.3655,19.764,-26.962,-0.8176554,1.7738061,1.544756,48.0
-3.6143966,-0.93351966,6.8793216,14.3655,19.764,-26.962,-0.8895664,2.0587869,1.6433009,48.0
-3.6143966,-0.93351966,6.8793216,14.3655,19.764,-26.962,-1.0333885,2.330451,1.7977765,48.0
-3.6143966,-0.93351966,6.8793216,14.3655,19.764,-26.962,-1.2864089,2.5648277,1.9788858,48.0
-6.017611,-0.3111732,6.180379,14.3655,19.764,-26.962,-1.4195776,2.6686993,2.066777,48.0
-6.017611,-0.3111732,6.180379,14.3655,19.764,-26.962,-1.6353108,2.895086,2.2558765,48.0
-6.017611,-0.3111732,6.180379,14.3655,19.764,-26.962,-1.8883312,3.0975022,2.4636197,48.0
-6.017611,-0.3111732,6.180379,14.3655,19.764,-26.962,-2.0694404,3.1614232,2.5701544,36.0
-10.134672,-0.6079846,5.414414,14.3655,19.764,-26.962,-2.2691934,3.1827302,2.6766894,36.0
-10.134672,-0.6079846,5.414414,21.5635,20.984001,-19.1845,-2.466283,3.1694133,2.780561,36.0
-10.134672,-0.6079846,5.414414,21.5635,20.984001,-19.1845,-2.7858877,3.0548882,2.9430268,36.0
-10.134672,-0.6079846,5.414414,21.5635,20.984001,-19.1845,-3.0069475,2.8338284,2.9803138,36.0
-13.945347,-1.7282082,4.782493,21.5635,20.984001,-19.1845,-3.0628784,2.695333,2.9270465,36.0
-13.945347,-1.7282082,4.782493,21.5635,20.984001,-19.1845,-3.0548882,2.4289958,2.6633725,36.0
-13.945347,-1.7282082,4.782493,21.5635,20.984001,-19.1845,-2.9456902,2.1759753,2.2319062,36.0
-13.945347,-1.7282082,4.782493,21.5635,20.984001,-19.1845,-2.5914614,1.9202917,1.7098851,36.0
-12.135756,-1.7282082,4.198445,21.5635,20.984001,-19.1845,-2.322461,1.8057666,1.4462113,36.0
-12.135756,-1.7282082,4.198445,21.5635,20.984001,-19.1845,-1.7391822,1.5793799,0.95881414,36.0
-12.135756,-1.7282082,4.198445,21.5635,20.984001,-19.1845,-1.1798741,1.3476665,0.5513181,36.0
-12.135756,-1.7282082,4.198445,21.5635,20.984001,-19.1845,-0.7563978,1.1852008,0.26900062,36.0
-10.40276,-1.0867126,3.2984362,32.3605,4.7885,5.368,-0.7563978,1.1852008,0.26900062,36.0
-10.40276,-1.0867126,3.2984362,32.3605,4.7885,5.368,-0.75906116,1.0839926,0.12517852,36.0
-10.40276,-1.0867126,3.2984362,32.3605,4.7885,5.368,-1.2038444,0.9774577,0.093218036,36.0
-10.40276,-1.0867126,3.2984362,32.3605,4.7885,5.368,-1.765816,0.8283089,0.14115874,36.0
-9.703817,-1.2590547,3.2409887,32.3605,4.7885,5.368,-1.9549154,0.74041754,0.18110934,36.0
-9.703817,-1.2590547,3.2409887,32.3605,4.7885,5.368,-2.1227078,0.64453614,0.2903076,36.0
-9.703817,-1.2590547,3.2409887,32.3605,4.7885,5.368,-2.3890452,0.657853,0.42081288,36.0
-9.703817,-1.2590547,3.2409887,32.3605,4.7885,5.368,-2.9456902,0.59925884,0.53800124,36.0
-9.483603,-1.7282082,3.5378,32.3605,4.7885,5.368,-3.217354,0.50337744,0.5832786,36.0
-9.483603,-1.7282082,3.5378,32.3605,4.7885,5.368,-3.4091167,0.23704016,0.6232292,36.0
-9.483603,-1.7282082,3.5378,32.3605,4.7885,5.368,-3.038908,0.058594197,0.59659547,36.0
-9.234664,-3.0494976,2.4654493,32.3605,4.7885,5.368,-2.7832243,0.031960472,0.564635,36.0
-9.234664,-3.0494976,2.4654493,32.3605,4.7885,5.368,-2.588798,0.031960472,0.51669425,96.0
-9.234664,-3.0494976,2.4654493,31.7505,-9.577,23.973,-2.5088968,0.045277335,0.46342683,96.0
-9.234664,-3.0494976,2.4654493,31.7505,-9.577,23.973,-2.6473923,0.061257567,0.3116146,96.0
-9.234664,-3.0494976,2.4654493,31.7505,-9.577,23.973,-2.8577988,0.05060408,0.111861646,96.0
-8.918703,-2.2835326,1.8718265,31.7505,-9.577,23.973,-2.873779,0.037287217,0.0,96.0
-8.918703,-2.2835326,1.8718265,31.7505,-9.577,23.973,-2.7033231,0.0,-0.23970354,96.0
-8.918703,-2.2835326,1.8718265,31.7505,-9.577,23.973,-2.444976,-0.063920945,-0.4953873,96.0
-8.918703,-2.2835326,1.8718265,31.7505,-9.577,23.973,-2.2905004,-0.14382212,-0.74041754,96.0
-9.8953085,-2.427151,1.6994845,31.7505,-9.577,23.973,-2.2771835,-0.17578259,-0.8469525,96.0
-9.8953085,-2.427151,1.6994845,31.7505,-9.577,23.973,-2.2851737,-0.22372329,-1.0360519,96.0
-9.8953085,-2.427151,1.6994845,31.7505,-9.577,23.973,-2.181302,-0.22372329,-1.1852008,96.0
-9.6942425,-3.0877957,1.5367169,31.7505,-9.577,23.973,-2.066777,-0.20774306,-1.2491218,96.0
-9.6942425,-3.0877957,1.5367169,31.7505,-9.577,23.973,-1.9096382,-0.18377271,-1.3050525,108.0
-9.6942425,-3.0877957,1.5367169,28.182001,-22.1735,19.1845,-1.7205386,-0.15447561,-1.3609834,108.0
-9.6942425,-3.0877957,1.5367169,28.182001,-22.1735,19.1845,-1.3050525,-0.08256455,-1.4595282,108.0
-9.6942425,-3.0877957,1.5367169,28.182001,-22.1735,19.1845,-0.8442891,-0.015980236,-1.5074688,108.0
-9.31126,-3.3367343,1.1728836,28.182001,-22.1735,19.1845,-0.57795185,0.01065349,-1.5127956,108.0
-9.31126,-3.3367343,1.1728836,28.182001,-22.1735,19.1845,-0.005326745,0.07723781,-1.494152,108.0
-9.31126,-3.3367343,1.1728836,28.182001,-22.1735,19.1845,0.5300111,0.13316862,-1.4408846,108.0
-9.31126,-3.3367343,1.1728836,28.182001,-22.1735,19.1845,0.97213095,0.1651291,-1.3450031,108.0
