accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
-3.193116,1.8718265,8.248484,-14.9755,8.967,-32.3605,0.21040644,0.11452502,0.3409117,36.0
-3.193116,1.8718265,8.248484,-14.9755,8.967,-32.3605,-0.093218036,-0.05060408,0.386189,36.0
-3.3367343,2.2643836,8.6697645,-14.9755,8.967,-32.3605,-0.22372329,-0.1065349,0.386189,36.0
-3.3367343,2.2643836,8.6697645,-14.9755,8.967,-32.3605,-0.26633725,-0.111861646,0.38086227,36.0
-3.3367343,2.2643836,8.6697645,-14.9755,8.967,-32.3605,-0.24503027,-0.09055467,0.36488205,36.0
-3.3367343,2.2643836,8.6697645,-14.9755,8.967,-32.3605,-0.24503027,-0.07990117,0.35422856,36.0
-3.3367343,2.2643836,8.6697645,-10.7665,5.978,-31.7505,-0.22638667,-0.069247685,0.35689193,36.0
-2.7431116,2.034594,8.631466,-10.7665,5.978,-31.7505,-0.19708957,-0.058594197,0.36221868,36.0
-2.7431116,2.034594,8.631466,-10.7665,5.978,-31.7505,-0.135832,-0.039950587,0.37553552,36.0
-2.7431116,2.034594,8.631466,-10.7665,5.978,-31.7505,-0.07457443,-0.018643608,0.386189,36.0
-2.427151,1.383524,8.870831,-10.7665,5.978,-31.7505,-0.029297099,0.0,0.39151576,36.0
-2.427151,1.383524,8.870831,-10.7665,5.978,-31.7505,0.023970352,0.018643608,0.3968425,24.0
-2.427151,1.383524,8.870831,-10.7665,5.978,-31.7505,0.12784189,0.05060408,0.41015938,24.0
-2.427151,1.383524,8.870831,-10.7665,5.978,-31.7505,0.12517852,0.055930823,0.4181495,24.0
-2.427151,1.383524,8.870831,-10.7665,5.978,-31.7505,0.007990118,0.04261396,0.44744658,24.0
-2.3314054,1.2686293,9.339984,-10.7665,5.978,-31.7505,-0.058594197,0.034623843,0.4660902,24.0
-2.3314054,1.2686293,9.339984,-10.7665,5.978,-31.7505,-0.15447561,0.029297099,0.5060408,24.0
-2.3314054,1.2686293,9.339984,-10.7665,5.978,-31.7505,-0.1944262,0.034623843,0.5539815,24.0
-2.0441687,1.0005416,8.947427,-10.7665,5.978,-31.7505,-0.20241632,0.039950587,0.5806152,24.0
-2.0441687,1.0005416,8.947427,-15.5855,12.566,-32.3605,-0.21040644,0.05060408,0.6125757,24.0
-2.0441687,1.0005416,8.947427,-15.5855,12.566,-32.3605,-0.25035703,0.08256455,0.6871501,24.0
-2.0441687,1.0005416,8.947427,-15.5855,12.566,-32.3605,-0.31694132,0.11985177,0.772378,24.0
-1.8335283,1.0196906,8.181462,-15.5855,12.566,-32.3605,-0.3302582,0.14115874,0.80966526,24.0
-1.8335283,1.0196906,8.181462,-15.5855,12.566,-32.3605,-0.22372329,0.18110934,0.8629327,24.0
-1.8335283,1.0196906,8.181462,-15.5855,12.566,-32.3605,-0.07990117,0.19708957,0.86825943,48.0
-1.8335283,1.0196906,8.181462,-15.5855,12.566,-32.3605,0.37553552,0.23970354,0.8496159,48.0
-1.8335283,1.0196906,8.181462,-15.5855,12.566,-32.3605,0.9028833,0.30362448,0.8522792,48.0
-2.0250196,0.110107444,7.6835847,-15.5855,12.566,-32.3605,1.1186165,0.33558494,0.8629327,48.0
-2.0250196,0.110107444,7.6835847,-15.5855,12.566,-32.3605,1.3476665,0.41548613,0.8922298,48.0
-2.0250196,0.110107444,7.6835847,-15.5855,12.566,-32.3605,1.12927,0.5087042,0.9694676,48.0
-1.79523,2.034594,7.9037995,-15.5855,12.566,-32.3605,0.8070019,0.5326745,1.0467054,48.0
-1.79523,2.034594,7.9037995,-19.764,16.165,-34.16,0.35689193,0.53533787,1.1532403,48.0
-1.79523,2.034594,7.9037995,-19.764,16.165,-34.16,-0.7377542,0.51136756,1.4115875,48.0
-1.79523,2.034594,7.9037995,-19.764,16.165,-34.16,-1.7817962,0.53800124,1.6433009,48.0
-1.79523,2.034594,7.9037995,-19.764,16.165,-34.16,-2.5115602,0.6685065,1.7604892,48.0
-1.929274,1.0196906,6.458041,-19.764,16.165,-34.16,-2.687343,0.7750414,1.7684793,48.0
-1.929274,1.0196906,6.458041,-19.764,16.165,-34.16,-2.7033231,1.0600222,1.7285287,48.0
-1.929274,1.0196906,6.458041,-19.764,16.165,-34.16,-2.6500556,1.222488,1.7098851,72.0
-1.929274,1.0196906,6.458041,-19.764,16.165,-34.16,-2.6793528,1.5367659,1.723202,72.0
-2.733537,-0.2154276,5.8835673,-19.764,16.165,-34.16,-2.7539272,1.6885782,1.7604892,72.0
-2.733537,-0.2154276,5.8835673,-19.764,16.165,-34.16,-2.8924227,2.0188365,1.901648,72.0
-2.733537,-0.2154276,5.8835673,-19.764,16.165,-34.16,-3.0415714,2.3597481,2.152005,72.0
-4.3803616,0.7324539,6.611234,-19.764,16.165,-34.16,-3.145443,2.50357,2.3118074,72.0
-4.3803616,0.7324539,6.611234,-19.764,16.165,-34.16,-3.3079088,2.759254,2.6686993,72.0
-4.3803616,0.7324539,6.611234,-16.775,13.786,-35.9595,-3.323889,2.8977494,2.8498087,72.0
-4.3803616,0.7324539,6.611234,-16.775,13.786,-35.9595,-3.3052454,3.2333343,3.2067006,72.0
-4.3803616,0.7324539,6.611234,-16.775,13.786,-35.9595,-3.4570575,3.5662558,3.539622,72.0
-8.66019,0.9526688,6.3622956,-16.775,13.786,-35.9595,-3.659474,3.6994245,3.7047513,72.0
-8.66019,0.9526688,6.3622956,-16.775,13.786,-35.9595,-4.343961,3.8325932,4.0216928,72.0
-8.66019,0.9526688,6.3622956,-16.775,13.786,-35.9595,-4.7727637,3.8139496,4.146871,96.0
-8.66019,0.9526688,6.3622956,-16.775,13.786,-35.9595,-5.590419,3.6275134,4.261396,96.0
-14.30918,0.12925656,4.9069624,-16.775,13.786,-35.9595,-5.926004,3.4996715,4.210792,96.0
-14.30918,0.12925656,4.9069624,-16.775,13.786,-35.9595,-6.2962127,3.1827302,3.8805337,96.0
-14.30918,0.12925656,4.9069624,-16.775,13.786,-35.9595,-5.9792714,2.8631256,3.38781,96.0
-14.30918,0.12925656,4.9069624,-16.775,13.786,-35.9595,-5.326745,2.631412,2.8897593,96.0
-12.480439,-1.622888,4.428234,-16.775,13.786,-35.9595,-5.0737247,2.4849267,2.6473923,96.0
-12.480439,-1.622888,4.428234,-0.5795,28.182001,-16.775,-4.834021,2.2691934,2.4076889,96.0
-12.480439,-1.622888,4.428234,-0.5795,28.182001,-16.775,-4.0563164,1.7391822,1.9469253,96.0
-12.480439,-1.622888,4.428234,-0.5795,28.182001,-16.775,-3.068205,1.4249043,1.5394293,96.0
-11.465536,-1.9962958,2.6952388,-0.5795,28.182001,-16.775,-2.767244,1.3396764,1.3609834,96.0
-11.465536,-1.9962958,2.6952388,-0.5795,28.182001,-16.775,-2.7432737,1.1665572,1.0600222,96.0
-11.465536,-1.9962958,2.6952388,-0.5795,28.182001,-16.775,-2.9377,1.0546955,0.95881414,12.0
-11.465536,-1.9962958,2.6952388,-0.5795,28.182001,-16.775,-3.4224336,0.7830315,0.8256455,12.0
-11.455961,-2.1782124,1.0484143,-0.5795,28.182001,-16.775,-3.62485,0.6471995,0.772378,12.0
-11.455961,-2.1782124,1.0484143,-0.5795,28.182001,-16.775,-3.859227,0.4181495,0.66317976,12.0
-11.455961,-2.1782124,1.0484143,-0.5795,28.182001,-16.775,-3.904504,0.25035703,0.55664486,12.0
-11.455961,-2.1782124,1.0484143,-0.5795,28.182001,-16.775,-3.816613,0.12517852,0.4554367,12.0
-10.230418,-3.5665238,0.93351966,-0.5795,28.182001,-16.775,-3.731385,0.07990117,0.40483263,12.0
-10.230418,-3.5665238,0.93351966,19.1845,4.7885,25.1625,-3.6301768,0.045277335,0.35422856,12.0
-10.230418,-3.5665238,0.93351966,19.1845,4.7885,25.1625,-3.4091167,-0.015980236,0.25834712,12.0
-10.230418,-3.5665238,0.93351966,19.1845,4.7885,25.1625,-3.1374528,-0.09588141,0.17045584,12.0
-8.7750845,-4.169721,1.5558661,19.1845,4.7885,25.1625,-2.966997,-0.117188394,0.12517852,12.0
-8.7750845,-4.169721,1.5558661,19.1845,4.7885,25.1625,-2.5568376,-0.10387153,0.039950587,12.0
-8.7750845,-4.169721,1.5558661,19.1845,4.7885,25.1625,-2.0454702,-0.05326745,-0.069247685,12.0
-8.7750845,-4.169721,1.5558661,19.1845,4.7885,25.1625,-1.7604892,-0.037287217,-0.14115874,60.0
-8.200611,-3.8346114,1.3548003,19.1845,4.7885,25.1625,-1.4701817,-0.026633725,-0.22905004,60.0
-8.200611,-3.8346114,1.3548003,19.1845,4.7885,25.1625,-0.9401705,-0.007990118,-0.43945646,60.0
-8.200611,-3.8346114,1.3548003,19.1845,4.7885,25.1625,-0.5726251,0.023970352,-0.65518963,60.0
-8.200611,-3.8346114,1.3548003,19.1845,4.7885,25.1625,-0.3302582,0.05060408,-0.8629327,60.0
-8.880404,-3.0973704,1.3452257,19.1845,4.7885,25.1625,-0.21573317,0.061257567,-0.9641409,60.0
-8.880404,-3.0973704,1.3452257,19.1845,4.7885,25.1625,0.015980236,0.069247685,-1.1638938,60.0
-8.880404,-3.0973704,1.3452257,18.574501,-20.374,23.973,0.098544784,0.063920945,-1.2571118,60.0
-8.880404,-3.0973704,1.3452257,18.574501,-20.374,23.973,0.1065349,0.037287217,-1.4169142,60.0
-9.675094,-2.580344,2.1399143,18.574501,-20.374,23.973,0.039950587,0.023970352,-1.4781717,60.0
-9.675094,-2.580344,2.1399143,18.574501,-20.374,23.973,-0.10120816,0.015980236,-1.5580729,60.0
-9.675094,-2.580344,2.1399143,18.574501,-20.374,23.973,-0.14115874,0.037287217,-1.5900334,60.0
-9.675094,-2.580344,2.1399143,18.574501,-20.374,23.973,-0.122515135,0.045277335,-1.5953602,84.0
-9.952756,-2.5994933,2.254809,18.574501,-20.374,23.973,-0.10120816,0.045277335,-1.5980235,84.0
-9.952756,-2.5994933,2.254809,18.574501,-20.374,23.973,-0.1065349,0.015980236,-1.5847067,84.0
-9.952756,-2.5994933,2.254809,18.574501,-20.374,23.973,-0.20241632,-0.026633725,-1.5367659,84.0
-9.952756,-2.5994933,2.254809,18.574501,-20.374,23.973,-0.27965412,-0.061257567,-1.4675183,84.0
-9.5889225,-2.561195,2.408002,18.574501,-20.374,23.973,-0.2823175,-0.069247685,-1.4328945,84.0
-9.5889225,-2.561195,2.408002,18.574501,-20.374,23.973,-0.26633725,-0.069247685,-1.3609834,84.0
-9.5889225,-2.561195,2.408002,22.7835,-17.385,21.5635,-0.26633725,-0.063920945,-1.315706,84.0
-9.5889225,-2.561195,2.408002,22.7835,-17.385,21.5635,-0.24503027,-0.045277335,-1.1985177,84.0
-8.679339,-2.5228968,2.1111906,22.7835,-17.385,21.5635,-0.19975294,-0.031960472,-1.12927,84.0
-8.679339,-2.5228968,2.1111906,22.7835,-17.385,21.5635,-0.031960472,-0.005326745,-0.9668042,84.0
-8.679339,-2.5228968,2.1111906,22.7835,-17.385,21.5635,0.17578259,0.007990118,-0.7883583,84.0
-8.679339,-2.5228968,2.1111906,22.7835,-17.385,21.5635,0.33558494,0.005326745,-0.59659547,84.0
-8.44955,-2.7909844,2.034594,22.7835,-17.385,21.5635,0.33558494,0.005326745,-0.59659547,72.0
-8.44955,-2.7909844,2.034594,22.7835,-17.385,21.5635,0.40216926,-0.005326745,-0.39950588,72.0
-8.44955,-2.7909844,2.034594,22.7835,-17.385,21.5635,0.39950588,-0.01065349,-0.19176282,72.0
-8.44955,-2.7909844,2.034594,22.7835,-17.385,21.5635,0.3595553,-0.01065349,0.013316862,72.0
-8.401677,-2.561195,1.948423,22.7835,-17.385,21.5635,0.33558494,-0.01065349,0.111861646,72.0
-8.401677,-2.561195,1.948423,22.7835,-17.385,21.5635,0.29829773,-0.007990118,0.29829773,72.0
-8.401677,-2.561195,1.948423,22.7835,-17.385,21.5635,0.27965412,0.007990118,0.4660902,72.0
-8.401677,-2.561195,1.948423,22.1735,-6.5880003,21.5635,0.27432737,0.018643608,0.543328,72.0
-8.076141,-2.6569405,1.6611862,22.1735,-6.5880003,21.5635,0.271664,0.031960472,0.6152391,72.0
-8.076141,-2.6569405,1.6611862,22.1735,-6.5880003,21.5635,0.2823175,0.061257567,0.7430809,72.0
-8.076141,-2.6569405,1.6611862,22.1735,-6.5880003,21.5635,0.3196047,0.093218036,0.85494256,72.0
-8.076141,-2.6569405,1.6611862,22.1735,-6.5880003,21.5635,0.36221868,0.11985177,0.94816065,72.0
-8.277207,-2.752686,1.3739494,22.1735,-6.5880003,21.5635,0.3781989,0.13050525,0.9881112,72.0
-8.277207,-2.752686,1.3739494,22.1735,-6.5880003,21.5635,0.386189,0.14115874,1.0253984,60.0
-8.277207,-2.752686,1.3739494,22.1735,-6.5880003,21.5635,0.37020877,0.15181224,1.0786659,60.0
-8.277207,-2.752686,1.3739494,22.1735,-6.5880003,21.5635,0.30362448,0.15980235,1.1026362,60.0
-9.004874,-2.7718353,1.4218222,22.1735,-6.5880003,21.5635,0.26633725,0.16246572,1.1052996,60.0
-9.004874,-2.7718353,1.4218222,22.1735,-6.5880003,21.5635,0.21839654,0.17311922,1.0893193,60.0
-9.004874,-2.7718353,1.4218222,22.1735,-6.5880003,21.5635,0.20774306,0.18110934,1.0467054,60.0
-9.004874,-2.7718353,1.4218222,23.363,-4.7885,20.984001,0.2130698,0.17844597,1.014745,60.0
-9.684668,-2.972901,1.469695,23.363,-4.7885,20.984001,0.22105992,0.17578259,0.9801211,60.0
-9.684668,-2.972901,1.469695,23.363,-4.7885,20.984001,0.23171341,0.15980235,0.9002199,60.0
-9.684668,-2.972901,1.469695,23.363,-4.7885,20.984001,0.22105992,0.13316862,0.80167514,60.0
-9.684668,-2.972901,1.469695,23.363,-4.7885,20.984001,0.17578259,0.10387153,0.6898135,60.0
-9.904882,-2.9250283,1.6516117,23.363,-4.7885,20.984001,0.13316862,0.09055467,0.63121927,60.0
-9.904882,-2.9250283,1.6516117,23.363,-4.7885,20.984001,0.015980236,0.069247685,0.51669425,60.0
-9.904882,-2.9250283,1.6516117,23.363,-4.7885,20.984001,-0.098544784,0.061257567,0.40483263,60.0
-9.904882,-2.9250283,1.6516117,23.363,-4.7885,20.984001,-0.135832,0.07191106,0.29829773,60.0
-9.148493,-2.905879,1.6899099,23.363,-4.7885,20.984001,-0.117188394,0.08256455,0.25035703,60.0
-9.148493,-2.905879,1.6899099,23.363,-4.7885,20.984001,-0.037287217,0.10919827,0.16246572,60.0
-9.148493,-2.905879,1.6899099,23.363,-4.7885,20.984001,0.047940705,0.12784189,0.09055467,60.0
-9.148493,-2.905879,1.6899099,21.5635,-11.3765,23.363,0.08256455,0.135832,0.061257567,60.0
-8.708063,-3.039923,1.7665064,21.5635,-11.3765,23.363,0.11452502,0.14115874,0.039950587,60.0
-8.708063,-3.039923,1.7665064,21.5635,-11.3765,23.363,0.19176282,0.1464855,0.0,60.0
-8.708063,-3.039923,1.7665064,21.5635,-11.3765,23.363,0.2823175,0.15181224,-0.034623843,60.0
-8.708063,-3.039923,1.7665064,21.5635,-11.3765,23.363,0.34357506,0.14914887,-0.07457443,60.0
-8.842107,-2.8771553,1.7377827,21.5635,-11.3765,23.363,0.34623843,0.1464855,-0.10120816,60.0
-8.842107,-2.8771553,1.7377827,21.5635,-11.3765,23.363,0.32759482,0.1464855,-0.13050525,72.0
-8.842107,-2.8771553,1.7377827,21.5635,-11.3765,23.363,0.24769364,0.16246572,-0.19708957,72.0
-8.842107,-2.8771553,1.7377827,21.5635,-11.3765,23.363,0.13849537,0.18909945,-0.27432737,72.0
-8.564445,-2.4558747,1.8814012,21.5635,-11.3765,23.363,0.08522792,0.20507969,-0.31694132,72.0
-8.564445,-2.4558747,1.8814012,21.5635,-11.3765,23.363,0.01065349,0.22638667,-0.40216926,72.0
-8.564445,-2.4558747,1.8814012,21.5635,-11.3765,23.363,0.023970352,0.23704016,-0.4767437,72.0
-8.564445,-2.4558747,1.8814012,23.363,-13.176001,23.973,0.055930823,0.23704016,-0.5140309,72.0
-9.64637,-2.7431116,1.7186337,23.363,-13.176001,23.973,0.09588141,0.23970354,-0.54599136,72.0
-9.64637,-2.7431116,1.7186337,23.363,-13.176001,23.973,0.19708957,0.23970354,-0.6019222,72.0
-9.64637,-2.7431116,1.7186337,23.363,-13.176001,23.973,0.30895123,0.19975294,-0.64453614,72.0
-9.64637,-2.7431116,1.7186337,23.363,-13.176001,23.973,0.41282275,0.11452502,-0.6764966,72.0
-10.689997,-2.8580062,1.7282082,23.363,-13.176001,23.973,0.45277333,0.06658431,-0.6871501,72.0
-10.689997,-2.8580062,1.7282082,23.363,-13.176001,23.973,0.4953873,-0.007990118,-0.70313036,72.0
-10.689997,-2.8580062,1.7282082,23.363,-13.176001,23.973,0.50337744,-0.04261396,-0.70579374,60.0
-10.689997,-2.8580062,1.7282082,23.363,-13.176001,23.973,0.49006054,-0.1065349,-0.7111205,60.0
-8.928278,-2.360129,1.6516117,23.363,-13.176001,23.973,0.46342683,-0.135832,-0.7111205,60.0
-8.928278,-2.360129,1.6516117,23.363,-13.176001,23.973,0.37287214,-0.18110934,-0.6898135,60.0
-8.928278,-2.360129,1.6516117,23.363,-13.176001,23.973,0.25035703,-0.20241632,-0.63121927,60.0
-8.928278,-2.360129,1.6516117,23.363,-13.176001,23.973,0.122515135,-0.20774306,-0.53800124,60.0
-8.076141,-2.1973617,1.3548003,22.1735,-10.7665,24.583,0.122515135,-0.20774306,-0.53800124,60.0
-8.076141,-2.1973617,1.3548003,22.1735,-10.7665,24.583,0.0,-0.1944262,-0.42081288,60.0
-8.076141,-2.1973617,1.3548003,22.1735,-10.7665,24.583,-0.08256455,-0.15980235,-0.2903076,60.0
-8.076141,-2.1973617,1.3548003,22.1735,-10.7665,24.583,-0.10120816,-0.1065349,-0.16246572,60.0
