accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
2.800559,2.5228968,8.957002,-43.1575,8.967,-29.3715,-0.093218036,0.1944262,-0.015980236,0.0
2.800559,2.5228968,8.957002,-43.1575,8.967,-29.3715,-0.10387153,0.12784189,-0.05326745,0.0
2.800559,2.5228968,8.957002,-43.1575,6.5880003,-26.962,-0.12784189,0.10120816,-0.08256455,0.0
2.800559,2.5228968,8.957002,-43.1575,6.5880003,-26.962,-0.20774306,0.09588141,-0.13050525,0.0
2.800559,2.5228968,8.957002,-43.1575,6.5880003,-26.962,-0.28764424,0.08522792,-0.15980235,0.0
2.6186423,2.647366,9.043172,-43.1575,6.5880003,-26.962,-0.30895123,0.07457443,-0.17311922,0.0
2.6186423,2.647366,9.043172,-43.1575,6.5880003,-26.962,-0.271664,0.069247685,-0.19975294,0.0
2.6186423,2.647366,9.043172,-43.1575,6.5880003,-26.962,-0.1651291,0.08522792,-0.21573317,0.0
2.5420458,1.7282082,8.928278,-43.1575,6.5880003,-26.962,-0.1065349,0.10120816,-0.21040644,0.0
2.5420458,1.7282082,8.928278,-43.1575,6.5880003,-26.962,-0.015980236,0.13849537,-0.16779247,0.0
2.5420458,1.7282082,8.928278,-43.1575,6.5880003,-26.962,0.0026633726,0.1065349,-0.15447561,0.0
2.5420458,1.7282082,8.928278,-43.1575,6.5880003,-26.962,-0.026633725,0.04261396,-0.14382212,0.0
2.3314054,2.0920415,8.602742,-43.1575,6.5880003,-26.962,-0.039950587,0.015980236,-0.13849537,0.0
2.3314054,2.0920415,8.602742,-43.1575,6.5880003,-26.962,-0.02130698,-0.026633725,-0.13849537,0.0
2.3314054,2.0920415,8.602742,-40.1685,8.967,-27.572,0.005326745,-0.05060408,-0.14115874,0.0
2.3314054,2.0920415,8.602742,-40.1685,8.967,-27.572,0.05060408,-0.07191106,-0.15447561,0.0
2.5037475,2.0250196,8.641041,-40.1685,8.967,-27.572,0.037287217,-0.07457443,-0.1651291,0.0
2.5037475,2.0250196,8.641041,-40.1685,8.967,-27.572,-0.08256455,-0.08522792,-0.17311922,0.0
2.5037475,2.0250196,8.641041,-40.1685,8.967,-27.572,-0.271664,-0.09588141,-0.18110934,0.0
2.5037475,2.0250196,8.641041,-40.1685,8.967,-27.572,-0.42081288,-0.093218036,-0.22638667,0.0
2.6282167,2.4175766,7.9708214,-40.1685,8.967,-27.572,-0.4660902,-0.08522792,-0.26900062,0.0
2.6282167,2.4175766,7.9708214,-40.1685,8.967,-27.572,-0.53533787,-0.05326745,-0.40483263,0.0
2.6282167,2.4175766,7.9708214,-40.1685,8.967,-27.572,-0.67383325,-0.013316862,-0.55930823,0.0
2.6282167,2.4175766,7.9708214,-40.1685,8.967,-27.572,-0.9641409,-0.013316862,-0.6898135,0.0
2.3505547,2.3984275,5.7782474,-40.1685,8.967,-27.572,-1.1692206,-0.039950587,-0.75107104,0.0
2.3505547,2.3984275,5.7782474,-40.1685,8.967,-27.572,-1.6646079,-0.15713897,-0.86825943,0.0
2.3505547,2.3984275,5.7782474,-40.1685,13.786,-28.7615,-1.9176283,-0.25834712,-0.9241903,0.0
2.3505547,2.3984275,5.7782474,-40.1685,13.786,-28.7615,-2.3331144,-0.52734774,-1.0200717,0.0
2.1590633,0.91437054,3.6622694,-40.1685,13.786,-28.7615,-2.4902534,-0.657853,-1.0680124,0.0
2.1590633,0.91437054,3.6622694,-40.1685,13.786,-28.7615,-2.72463,-0.8522792,-1.3077159,0.0
2.1590633,0.91437054,3.6622694,-40.1685,13.786,-28.7615,-2.8178482,-1.0813292,-1.7551625,0.0
2.1590633,0.91437054,3.6622694,-40.1685,13.786,-28.7615,-2.9350367,-1.5074688,-1.994866,0.0
2.8292825,-0.27287498,3.9207826,-40.1685,13.786,-28.7615,-3.102829,-1.7391822,-1.9256184,0.0
2.8292825,-0.27287498,3.9207826,-40.1685,13.786,-28.7615,-3.5689192,-2.0481334,-1.6353108,0.0
2.8292825,-0.27287498,3.9207826,-40.1685,13.786,-28.7615,-3.968425,-2.1360247,-1.5287758,0.0
5.759098,-2.1973617,4.926111,-40.1685,13.786,-28.7615,-4.128227,-2.1653218,-1.5394293,0.0
5.759098,-2.1973617,4.926111,-40.1685,13.786,-28.7615,-4.3359704,-2.25854,-1.5580729,0.0
5.759098,-2.1973617,4.926111,-40.1685,13.786,-28.7615,-4.29602,-2.2612033,-1.58737,0.0
5.759098,-2.1973617,4.926111,-41.968002,18.574501,-25.1625,-4.1814947,-2.194619,-1.6326474,0.0
8.822957,-5.3186684,5.7495236,-41.968002,18.574501,-25.1625,-4.06697,-2.1014009,-1.693905,0.0
8.822957,-5.3186684,5.7495236,-41.968002,18.574501,-25.1625,-4.05898,-1.9202917,-1.8430538,0.0
8.822957,-5.3186684,5.7495236,-41.968002,18.574501,-25.1625,-4.3492875,-1.8164201,-2.0055196,0.0
8.822957,-5.3186684,5.7495236,-41.968002,18.574501,-25.1625,-4.602308,-1.6566178,-2.1040642,0.0
11.905966,-6.611234,6.6495323,-41.968002,18.574501,-25.1625,-4.687536,-1.4755085,-2.096074,0.0
11.905966,-6.611234,6.6495323,-41.968002,18.574501,-25.1625,-4.961863,-1.0120816,-2.0348167,0.0
11.905966,-6.611234,6.6495323,-41.968002,18.574501,-25.1625,-5.361369,-0.70313036,-2.0534601,0.0
11.905966,-6.611234,6.6495323,-41.968002,18.574501,-25.1625,-5.0604076,-0.5939321,-2.1227078,0.0
11.867668,-8.736787,5.2899446,-41.968002,18.574501,-25.1625,-4.4771295,-0.5752885,-2.117381,0.0
11.867668,-8.736787,5.2899446,-41.968002,18.574501,-25.1625,-3.081522,-0.59659547,-1.9895393,0.0
11.867668,-8.736787,5.2899446,-60.5425,27.572,5.368,-2.6287487,-0.6045856,-1.8510439,0.0
11.867668,-8.736787,5.2899446,-60.5425,27.572,5.368,-2.4076889,-0.49805066,-1.5420927,0.0
10.699572,-7.6740103,2.9250283,-60.5425,27.572,5.368,-2.50357,-0.3781989,-1.4568648,0.0
10.699572,-7.6740103,2.9250283,-60.5425,27.572,5.368,-2.974987,0.031960472,-1.2597752,0.0
10.699572,-7.6740103,2.9250283,-60.5425,27.572,5.368,-3.7580187,0.62056583,-0.772378,0.0
10.699572,-7.6740103,2.9250283,-60.5425,27.572,5.368,-4.2001386,0.9002199,-0.3781989,0.0
9.569773,-7.0995364,1.4409714,-60.5425,27.572,5.368,-4.1149106,0.8602693,-0.30628785,0.0
9.569773,-7.0995364,1.4409714,-60.5425,27.572,5.368,-3.4410772,0.62056583,-0.2530204,0.0
9.569773,-7.0995364,1.4409714,-60.5425,27.572,5.368,-2.6260853,0.36221868,-0.135832,0.0
9.569773,-7.0995364,1.4409714,-60.5425,27.572,5.368,-1.994866,0.23704016,-0.007990118,0.0
9.569773,-7.0995364,1.4409714,-60.5425,27.572,5.368,-1.4728451,0.30895123,0.007990118,0.0
9.569773,-7.0995364,1.4409714,-60.5425,27.572,5.368,-1.065349,0.3781989,-0.031960472,0.0
9.569773,-7.0995364,1.4409714,-67.7405,4.1785,26.3825,-0.9534874,0.33558494,-0.0026633726,0.0
8.430401,-5.9697385,-0.64628285,-67.7405,4.1785,26.3825,-0.90554667,0.2530204,0.055930823,0.0
8.430401,-5.9697385,-0.64628285,-67.7405,4.1785,26.3825,-0.79901177,0.09588141,0.13849537,0.0
8.430401,-5.9697385,-0.64628285,-67.7405,4.1785,26.3825,-0.4261396,0.034623843,0.09055467,0.0
8.430401,-5.9697385,-0.64628285,-67.7405,4.1785,26.3825,0.07457443,0.007990118,0.029297099,0.0
8.909128,-5.1176023,0.043085523,-67.7405,4.1785,26.3825,0.2530204,-0.015980236,0.02130698,0.0
8.909128,-5.1176023,0.043085523,-67.7405,4.1785,26.3825,0.30628785,-0.039950587,0.045277335,0.0
8.909128,-5.1176023,0.043085523,-67.7405,4.1785,26.3825,0.01065349,0.018643608,0.07457443,0.0
