accdatax,accdatay,accdataz,magdatax,magdatay,magdataz,gyrodatax,gyrodatay,gyrodataz,lightdatax
-2.015445,3.844186,8.420826,17.385,-21.5635,5.368,-0.013316862,-0.087891296,0.05060408,0.0
-2.015445,3.844186,8.420826,17.385,-21.5635,5.368,-0.037287217,-0.07191106,0.063920945,0.0
-2.015445,3.844186,8.420826,17.385,-21.5635,5.368,-0.055930823,-0.05060408,0.07457443,0.0
-1.9388485,3.9207826,8.363379,17.385,-21.5635,5.368,-0.05326745,-0.045277335,0.07457443,0.0
-1.9388485,3.9207826,8.363379,16.165,-22.1735,5.368,-0.05060408,-0.04261396,0.07723781,0.0
-1.9388485,3.9207826,8.363379,16.165,-22.1735,5.368,-0.045277335,-0.029297099,0.08256455,0.0
-1.9388485,3.9207826,8.363379,16.165,-22.1735,5.368,-0.045277335,-0.01065349,0.087891296,0.0
-1.9771467,3.8058877,8.34423,16.165,-22.1735,5.368,-0.04261396,-0.005326745,0.087891296,0.0
-1.9771467,3.8058877,8.34423,16.165,-22.1735,5.368,-0.047940705,0.0026633726,0.08522792,0.0
-1.9771467,3.8058877,8.34423,16.165,-22.1735,5.368,-0.063920945,0.02130698,0.08256455,0.0
-1.9771467,3.8058877,8.34423,16.165,-22.1735,5.368,-0.07457443,0.037287217,0.07990117,0.0
-1.9867213,3.7484405,8.392102,16.165,-22.1735,5.368,-0.07457443,0.04261396,0.07990117,0.0
-1.9867213,3.7484405,8.392102,16.165,-22.1735,5.368,-0.07457443,0.04261396,0.07723781,0.0
-1.9867213,3.7484405,8.392102,16.165,-22.1735,5.368,-0.06658431,0.037287217,0.07457443,0.0
-1.9867213,3.7484405,8.392102,16.165,-22.1735,5.368,-0.058594197,0.029297099,0.07457443,0.0
-1.9675722,3.6431203,8.430401,16.165,-22.1735,5.368,-0.058594197,0.026633725,0.07457443,0.0
-1.9675722,3.6431203,8.430401,18.574501,-20.984001,4.7885,-0.063920945,0.02130698,0.07723781,0.0
-1.9675722,3.6431203,8.430401,18.574501,-20.984001,4.7885,-0.08522792,0.02130698,0.07723781,0.0
-1.9675722,3.6431203,8.430401,18.574501,-20.984001,4.7885,-0.11452502,0.02130698,0.07990117,0.0
-1.8431029,3.690993,8.459125,18.574501,-20.984001,4.7885,-0.122515135,0.018643608,0.08522792,0.0
-1.8431029,3.690993,8.459125,18.574501,-20.984001,4.7885,-0.14382212,0.007990118,0.10120816,0.0
-1.8431029,3.690993,8.459125,18.574501,-20.984001,4.7885,-0.17045584,-0.005326745,0.12784189,0.0
-1.8431029,3.690993,8.459125,18.574501,-20.984001,4.7885,-0.19708957,-0.026633725,0.15713897,0.0
-1.8526775,3.6335456,8.401677,18.574501,-20.984001,4.7885,-0.21040644,-0.034623843,0.16779247,0.0
-1.8526775,3.6335456,8.401677,18.574501,-20.984001,4.7885,-0.23437679,-0.039950587,0.19176282,0.0
-1.8526775,3.6335456,8.401677,18.574501,-20.984001,4.7885,-0.271664,-0.031960472,0.21040644,0.0
-1.8335283,3.5569491,8.392102,18.574501,-20.984001,4.7885,-0.29563436,-0.029297099,0.21573317,0.0
-1.8335283,3.5569491,8.392102,18.574501,-20.984001,4.7885,-0.3489018,-0.026633725,0.23437679,0.0
-1.8335283,3.5569491,8.392102,19.764,-20.984001,5.978,-0.37553552,-0.026633725,0.24503027,0.0
-1.8335283,3.5569491,8.392102,19.764,-20.984001,5.978,-0.407496,-0.015980236,0.27432737,0.0
-1.8335283,3.5569491,8.392102,19.764,-20.984001,5.978,-0.43146634,0.0,0.2903076,0.0
-1.8335283,3.2505634,8.439975,19.764,-20.984001,5.978,-0.44211984,0.0,0.28764424,0.0
-1.8335283,3.2505634,8.439975,19.764,-20.984001,5.978,-0.47940707,0.0,0.27432737,0.0
-1.8335283,3.2505634,8.439975,19.764,-20.984001,5.978,-0.54599136,-0.018643608,0.27432737,0.0
-1.8335283,3.0973704,8.928278,19.764,-20.984001,5.978,-0.57795185,-0.034623843,0.2823175,0.0
-1.8335283,3.0973704,8.928278,19.764,-20.984001,5.978,-0.6152391,-0.07723781,0.30362448,0.0
-1.8335283,3.0973704,8.928278,19.764,-20.984001,5.978,-0.59925884,-0.11452502,0.33558494,0.0
-1.8335283,3.0973704,8.928278,19.764,-20.984001,5.978,-0.58860534,-0.1464855,0.36488205,0.0
-1.5941644,2.7239625,8.784659,19.764,-20.984001,5.978,-0.60724896,-0.15447561,0.38352564,0.0
-1.5941644,2.7239625,8.784659,19.764,-20.984001,5.978,-0.70313036,-0.15447561,0.43945646,0.0
-1.5941644,2.7239625,8.784659,17.385,-18.574501,4.7885,-0.76971465,-0.15181224,0.47408032,0.0
-1.5941644,2.7239625,8.784659,17.385,-18.574501,4.7885,-0.8922298,-0.13316862,0.5513181,0.0
-1.4601204,2.3505547,8.152739,17.385,-18.574501,4.7885,-0.92685366,-0.11985177,0.58860534,0.0
-1.4601204,2.3505547,8.152739,17.385,-18.574501,4.7885,-0.91886353,-0.07990117,0.6392094,0.0
-1.4601204,2.3505547,8.152739,17.385,-18.574501,4.7885,-0.9321804,-0.007990118,0.67383325,0.0
-1.4601204,2.3505547,8.152739,17.385,-18.574501,4.7885,-1.0493687,0.09055467,0.72443736,0.0
-1.3069274,2.0633178,8.124015,17.385,-18.574501,4.7885,-1.12927,0.135832,0.76172453,0.0
-1.3069274,2.0633178,8.124015,17.385,-18.574501,4.7885,-1.2464584,0.20241632,0.8389624,0.0
-1.3069274,2.0633178,8.124015,17.385,-18.574501,4.7885,-1.2864089,0.26367387,0.92685366,0.0
-1.3069274,2.0633178,8.124015,17.385,-18.574501,4.7885,-1.2890723,0.34357506,1.0280617,0.0
-1.1920328,1.5079932,8.315506,17.385,-18.574501,4.7885,-1.2997258,0.38086227,1.0813292,0.0
-1.1920328,1.5079932,8.315506,17.385,-18.574501,4.7885,-1.3529932,0.4261396,1.1878642,0.0
-1.1920328,1.5079932,8.315506,15.5855,-17.9645,-1.769,-1.3929439,0.4447832,1.2358049,0.0
-1.1920328,1.5079932,8.315506,15.5855,-17.9645,-1.769,-1.4675183,0.5193576,1.3210328,0.0
-1.1633091,1.1728836,8.602742,15.5855,-17.9645,-1.769,-1.494152,0.5726251,1.35832,0.0
-1.1633091,1.1728836,8.602742,15.5855,-17.9645,-1.769,-1.5474194,0.64187276,1.4062607,0.0
-1.1633091,1.1728836,8.602742,15.5855,-17.9645,-1.769,-1.6379741,0.6764966,1.4408846,0.0
-1.1633091,1.1728836,8.602742,15.5855,-17.9645,-1.769,-1.7684793,0.721774,1.5021421,0.0
