
2018-01-22 05:55:08


User: 1
FRR: 0.11304
FAR: 0.22051


User: 2
FRR: 0.09664
FAR: 0.27603


User: 3
FRR: 0.15481
FAR: 0.31111


User: 4
FRR: 0.11864
FAR: 0.26438


User: 5
FRR: 0.14350
FAR: 0.22026


User: 6
FRR: 0.12146
FAR: 0.29871


Mean: 
FRR: 0.12468
FAR: 0.26517


User: 1
FRR: 0.12174
FAR: 0.22254


User: 2
FRR: 0.13025
FAR: 0.27552


User: 3
FRR: 0.10042
FAR: 0.31708


User: 4
FRR: 0.11441
FAR: 0.26608


User: 5
FRR: 0.14798
FAR: 0.22177


User: 6
FRR: 0.13360
FAR: 0.29305


User: 1
FRR: 0.09130
FAR: 0.22119


User: 2
FRR: 0.12605
FAR: 0.27313


User: 3
FRR: 0.16318
FAR: 0.31282


User: 4
FRR: 0.10593
FAR: 0.26812


User: 5
FRR: 0.12108
FAR: 0.22076


User: 6
FRR: 0.08907
FAR: 0.30026


